Hate_Speech,Counter_Narrative,Counter_Type,Target_Group
ولادت بنیانگذار این وحشی گری‌ها رو تبریک میگم به کل مسلمانان پِهِن مغز، هر کی قرآنو درست خونده باشه و فهمیده باشه و مسلمون مونده باشه آدم نیست یا حداقل آدم درست و سالمی نیست، کتاب قتل و جنایت و تجاوز و شهوت، اگه اعتقاد داری اینارو خدا گفته برو یه فکری به حال مغزت بکن,کاش بتونی مدرکی از این مطالبی که از نظرت تو قرآن هست رو ارایه بدی. اینکه یک عده افراط گر با اسم یک مذهب باعث عذاب و ضرر یک ملت شدن دلیل خوبی نیست که تمامی افراد پیرو اون مذهب رو در یک دسنه بندی قرار بدیم و به همشون توهین کنیم.,"Denouncing ,Counter questions",گروه مذهبی
"شیعه مذهب مظلومنمایی و زدن به صحرای کربلاست. میگه مسلمونا بزرگترین قربانی ج اسلامی اند! آره چون ج ا آدما رو بخاطر مسلمون بودن میکشه، حبس میده، از حقوق اجتماعی محروم میکنه، اما به دهن بهایی و زرتشنی و مسیحی و یهودی و خداناباور حلوا میذاره.
بچه شیعه تجسم پررویی است. 
تفاوت قرائت :)",بنظرتون تا الان با تمام شیعه های دنیا تعامل داشتین که اینقدر مطمـءن در موردشون اظهار نظر میکنید و ادعای شناخت تمامی افراد پیرو این تفکر رو دارین؟ بهتره برای تخلیه خشممون انقدر راحت گروهی رو مورد توهین و تمسخر قرار ندیم.,"Counter questions ,Positive Response",گروه مذهبی
"من ببينم دو روز ديگه كسي براي پهلوي شكسته فاطمه زهرا گريه ميكنه ، دست ميندازم دهنشو جر ميدم!
اره بي ادبم شدم.
#داریوش_علیزاده",یک عده، چه درست چه غلط، بعضی اعتقادات قوی دارن و باهاشون خو گرفتن. هیچکس در جایگاهی نیست که بتونه اینجور اعتقادات رو زیر سوال ببره و بگه قطعا کار اشتباهیه پیروی از این مذاهب,"Denouncing ,Positive Response",گروه مذهبی
"حرومزاده ها مگه دست زدن به نامحرم حرام نبود ؟
چرا هم دست میزنی هم بدنشو نمایان میکنی مگه اینا رو قانونتون منع نکرده دلقک پدر؟ ",گاهي كسايي كه يك قانون را وضع ميكنند هم مرتكب جرم مي شوند. ما بايد به جاي فحاشي، با دليل و مدرك مردم را آگاه تر بكنيم. آيا براي اين موضوع مدركي داري؟,"Denouncing, Counter questions",گروه مذهبی
اين ذباله ها توالت همشون در نجف و کربلا، دوتا شهر شیعه اسلامی تریاکی بدنیا آمده اند. ایران تنها کشوری است در دنیا که یک شیخ ایران فروش تریاکی که زاده و تبعه و شهروند ایران نیست، کشور را به ادعای خود اشغال گرش اداره می‌کند.,فحش دادن به نجف و کربلا چیزی رو عوض نمی‌کنه—اگه از مدیریت کشور ناراضی هستی، بگو چرا، با دلیل. این که یکی از کجا اومده مهم نیست، مهم اینه که کارش درسته یا نه. تاریخ پر از آدمای غیربومیه که جاها رو ساختن یا خراب کردن.,"Denouncing, Counter questions",گروه مذهبی
همش میخوام سعی کنم مسی با عبای آخوندی رو فراموش کنم دوباره عکسش رو میبینم 😭😭😭 این بچه تونست به آرزوش برسه که با اون عبا ریدن به عکساش. نمیدونم این آه کی بود 😭😂,بياييد اين مسئله را زياد جدي نگيريم. شايد براي فان بوده باشه اصلا.,Denouncing,گروه مذهبی
"کص ننه ی هر کی شده عرزشی 
کص ننه ی عرزشی ، ورزشی 

#مهسا_امینی 
#دانشگاه_شریف 
#کص_ننه_مهدی_ترابی",این موضوع خیلی عجیبه که چرا تا با کسی به مشکلی میخوریم به مادر یا خواهر طرف فحش و ناسزا میگیم. کلا فحش دادن کاری از پیش نمیبره و تنش ها و اختلافات رو بیشتر میکنه چه برسه به فحش به مقدس ترین فرد زندگی هر نفری که مادرشه.,"Denouncing ,Warning of consequences",گروه مذهبی
"۱۵ سالم بود که فلسفه ولنتاین رو از رادیو بی بی سی شنیدم و از اون موقع دیگه دوستش نداشتم. عامو ما اینجا واسه آخوند تره خورد نمیکنیم بعد بیایم بزرگداشت آخوند مسیحی رو که واسه سربازای امپراتور خطبه عقد میخونده برگزار کنیم؟ خلیم مگه؟
#مهسا_امینی",ولنتاین که فقط خطبه عقد نیست، بیشتر یه بهونه‌ست برای شادی و محبت. اگه از آخوندا خوشت نمیاد، چرا یه روز قشنگ رو به اونا ربط می‌دی؟,"Denouncing, Counter questions",گروه مذهبی
"تا مطمئن شوند بچه را کشته اند 
تروریست‌های جمهوری اسلامی کثیف داعشی خامنه ای دیوث
#مهسا_امینی ",كشتن افراد نابخشيدني هست. به جاي فحاشي در فضاي مجازي بياييد به دنبال چاره براي تغيير وضعيت باشيم.,"Denouncing, Positive Response",گروه مذهبی
از ماست که بر ماست تا به این دین و باورهای بیابان گرد ملخ خوار باور داریم همین آش و همین کاسه,افراطیون در همه دین ها وجود دارند و تفکرات اشتباه خودرا وارد اصول دین ها میکنند. این تفکرات اشتباه و افراطی ملزم به این نیست که تمامی افراد آن فرقه مانند هم فکر و عمل میکنند.,Positive Response,گروه مذهبی
"بنظرم اون کسی که داره در مورد تجزیه صحبت می‌کنه واقعا یه کودن احمق به حساب میاد 
نباید باهاش بحث کرد 
تو تمام شهرها شعار میدن زاهدان کردستان چشم چراغ ایران 
و خیلی شعار های مشابه 
اینارو ول کنید زیر خایه های سید علی ابی بزنند تمام.
#مهسا_امینی",اره ، تجزيه طلبي فقط كشور را ضعيف تر ميكند. بهتر نيست با مدرك و ذكر منبع اين مشكل را براي مردم روشن كنيم؟,"Denouncing, Counter questions",گروه مذهبی
"جهود علنا در برنامه تلویزیونی به حضرت مسیح علیه السلام توهین می کنند ولی این مسیحی های مخنث هیچ واکنشی نمی دن چون جهود با دروغ "" آزادی بیان"" اینا رو خر کردن
ولی خدا نکنه یک کلمه فقط در مورد املای  Hollowcause :) سوال مطرح کنی جهود تمبان طرف رو سرش پرچم می کنند.

فاحشه جهود نباش",در حالت کلی توهین به هر مقدسی در هر نوع قالبی کار اشتباهیه. انسانها با توجه به نیاز های خودشون و جامعشون به یک دین و اعتقادی روی می آورند. نمیشه استدلال جز به کل کرد در این موضوع که همه عین هم اند.,Positive Response,گروه مذهبی
"۴۰ ام مهسا امینی اینترنت آزاد در ایران است.پایان حکومت استبدادی ، پایان دیکتاتوری مزدوران و اشغال گران عرب دین من درآوردی اسلام شیعه.
توپ تانک فشفشه
اخوند باید گم بشه
#مهسا_امینی 
#OpIran 
#MahsaAmini
#elonmusk
#ElonMusk_We_Need_starlink 
#elonmusk_we_need_help_now ",اینکه با یک حکومت و ایدئولوژی هاش مخالف باشیم کاملا قابل درکه. اما اینکه چرا به دین و مذهب چندین میلیارد انسان توهین بشه جدای اخلاق انسانیه.,"Denouncing ,Positive Response",گروه مذهبی
"حالا یه طرف باید پشمامون بخاطر تروریست های مسلمون تو خیابونا بریزه، یه طرف هم اروپایی هایی که به هر حال ما براشون تو دسته بندی ""خارجی"" جا میگیریم که باعث نا امنی کشورشون شده. این مسلمونا چرا هرجا میریم هستن؟ کجا دیگه باید از دست این غیر آدمی زاد ها فرار کرد!",تروریست‌ها که مسلمون و غیرمسلمون ندارند، هرجا باشن دردسرن. به جاي كلي گويي و توهين به همه مسلمان ها، ما بايد صلح و دوستي را رواج دهيم.,Denouncing,گروه مذهبی
اسلام اگه خوب بود، خدا برای خودش زن مسیحی نمی گرفت,اگه منظورت حضرت مریمه که اونموقع هنور حرفی از اسلام زده نشده بود و حدود هزار سال بعدش اسلام و قرآن توسط حضرت محمد توسعه پیدا کرد.,Faced based,گروه مذهبی
"زنی که با حجاب و روسری آواز میخواند در واقع همان موجود مفلوک نصفِ آدم و ناقص العقلی است که اسلام توصیفش میکند 
«آواز خواندن زن در اسلام حرام است» و چقدر حقارت بار است که روسری سرت بکنی که از حرام دیگرت چشم پوشی شود",زنان ايراني بخاطر قانون مجبورند روسري سر بكنند. همه آنها دوست دار حجاب نيستند. لطفا زود قضاوت نكنيم!,Denouncing,گروه مذهبی
معلومه که نمیتونی تصور کنی چون تو تصورت نمیگنجه عزیز دلم قربون اون حجاب کیریت برم حالا علل حساب پاک کن فیلتر شکن رو به گناه نیفتی😂😂,هر کسی اختیار نوع پوشش خودش رو داره و هیچکس نمیتونه نوهین یا اجباری در این موضوع بکنه.,Denouncing,گروه مذهبی
کسانی میگند قاتل باید اعدام بشه که قاتلهای قتلهای محفلی کرمان رو تبرئه کردن، مسلمان لاشی,به جاي فحاشي نظرت درباره اعتراض دسته جمعي چيست؟,Counter questions,گروه مذهبی
ای روباه، از همون اول یه بچه شیعه کصکش زبون بار هفت خط بودی، یادته چقدر کیر مارو میخوردی باهات فوتبال بازی کنیم،خایهام میمالیدی از همون اول خایه مال بارت آوردم. من تورو گردن میگیرم، کاش بهت بازی میدادم اینقدر غرق خایه نمیشدی، دستات که کفش صاف شد یه فکری برا لبات بکن#علیرضا_دبیر,این همه تندی برای چیه؟ اگر ناراحتی از کسی داریم بنظرم باید در قالب احترام بیان کنیم که سازنده تر باشد.,Counter questions,گروه مذهبی
اینجا از زوجی مسیحی سلب فرزند خواندگی کرده اند آن وقت آخوندک فکلیِ آرمیده در دامان ملکه الیزابت، حق و حقوق اقلیت ها را به ما یادآوری می کند.,مدرکی بر این حرفت داری؟ چی باعث شده که این حرف را بزنی؟,Counter questions,گروه مذهبی
"من به واسطه كار و خونه كه جفتشون خارج از شهر هستن هميشه تو جادم كه هميشه تاريكه و پر خطر
اين مادر به خطاهاي تخم حروم اين همه مصرف برق و انرژي تو اين كصكشبازاراشون (سلام فرمانده ، مهموني ١٠ كيلومتري ، عيد و عزا هاشون) ميتونن داشته باشن ولي بحث روشنايي جاده مياد وسط كمبود انژي دارن",واقعاً این مشکل خیلی بزرگی هست که میتواند برای رانندگان خطرناک باشد. ولی فحش دادن فایده ای ندارد. با امضا جمع کردن و یا اعتراض دسته جمعی شاید بتوانیم این مشکل را حل کنیم.,"Denouncing ,Warning of consequences",گروه مذهبی
"ریدم تو هرچی مسجده اللخصوص بیت المقدس
#روز_جهانی_غدس
#روز_جهانی_قدس",مسجد یکی از مکانهای مقدسه که تو کل دنیا قبول شده و قابل احترامه. توهین و ناسزا گویی راجب مکانهای مقدس نتیجه ای جز تفرقه افکنی نداره. جدای از تمام عقاید هممون انسانیم و اینو نباید یادمون بره.,"Denouncing ,Warning of consequences",گروه مذهبی
می دونید چرا جوان ترین است چون اهل سنت اونجا در توهم گرفتن پست های بزرگ هستند و متاسفانه با علم به کمبود های زیرساختی در استانشان جمعیتشان را زیاد می کنند و با مهاجرت به شهر های دیگر بافت قومیتی استان های دیگر را هم به هم می ریزند,می‌فهمم که نگرانی‌هایی درباره تغییرات جمعیتی یا مسائل زیرساختی داری، ولی نسبت دادن این مشکلات به یه گروه خاص مثل اهل سنت یا سرزنش اونا به خاطر تعداد فرزندانشون، نتیجه ای بجز سوءتفاهم و تشدید تفرقه نداره. رشد جمعیت و مهاجرت دلایل پیچیده‌ای داره، مثل مشکلات اقتصادی و کمبود امکانات، که به همه گروه‌ها ربط داره.,"Denouncing, Fact based",گروه مذهبی
"جایی که من هستم ک‌ک 😡 هایی هستن که نزدیک عضان صبح طبل می‌زنند 
#اسلام و #مسلمان بزرگترین دشمن امنیت آرامش",درسته اینکار باعث از بین رفتن آرامش شما میشه و عصبانیت سر این موضوع کاملا قابل درکه. ولی اینکه سر یک تجربه شخصی به تمامیت یک مذهب توهین بشه کاری غیر انسانیه و همین هم باعث از بین رفتن آرامش یک عده دیگه میشه. خوب مطلق و بد مطلق تعریف نشده است و هرکسی باید بهترین خودش باشد جدای از دین و اعتفاداتش.,"Denouncing ,Warning of consequences ,Positive Response",گروه مذهبی
منشنا شبیه ایدئولوژی مسیحی های ثروتمند داخل تگزاسه. فقط ورژن کصخل ترش چون به هر حال مسلمونن.,الان با این حرفت پیروان دوتا مذهب مختلف رو باهم مقایسه کردی و به جفتشونم در جا توهین کردی که به چه نتیجه ای برسی؟,"Denouncing ,Counter questions",گروه مذهبی
"دلقک‌های مسلمان ۱۴قرنست که مال و منال ما را تاراج میکنند و در خیمه‌شب‌بازی خودنوشته، انگشت اتهام بسوی همدیگر میگیرند تا نام دلقک اصلی نهان بماند و در عصر ما آخور نفتی آنان مستدام بماند.
سوزاندن دلقک اصلی(الله)، مقدمهٔ انقراض #اکبر_طبری و #لاریجانی و…است. ",حالا توهین کردنت به تمام معتفدان این مذهب به کنار که یکی از زننده ترین مدل اعلام اعتراضه، ادعای به این بزرگی و بازه زمانی به این طولانی حتما نیازمند یک منبع درست و معتبره که مخاطبت تحت تاثیر یک نظر شخصی نفرت پراکن قرار نگیره.,"Denouncing ,Warning of consequences",گروه مذهبی
"از قدیم گفتن دیگی که برای من نجوشه ،میخام سر سگ توش بجوشه.
تا الانم که برجام و دلارهای اوباما بیشتر از اینکه به مردم من کمک کنه ،خرج حزب الله و حوثی ها و گروهک های تروریستی حشدالشعبی و موشک پرانی سپاه شده.
امیدوارم عرصه برای خامنه‌ایی ضحاک بدترم بشه.

#TriggerSnapback",باهات موافقم. دولت ایران باید به فکر مردم خودش باشد که از فقر نجات یابند. ماهم به جای فحش دادن در فضای مجازی باید به دنبال راه حل برای تغییر این سیاست باشیم.,Positive Response,گروه مذهبی
"بدبختی حجاب رو می‌خواید ببینید؟ این رشتو رو ببینید. سگ تو آخوند.

#زن_زندگی_آزادی ",حجاب اجباری اشتباه هست. ما هم باید به جای فحاشی و توهین باید با برنامه ریزی و همبستگی بریم جلو تا ریشه این قانون را بکنیم.,"Denouncing ,Positive Response",گروه مذهبی
"این کار را هم می‌گذارم تا خشکه‌مقدس‌ها و مسلمانان دوریالی بشوند و هم از کلام هم از حقیقت، بیشتر بر خود بژکند!
سالها زور زدند شعری بگویند و نشد! حال چماقِ تکفیر در دست دارند که ما مسلمانیم! شما نه مسلمان شدید نه شاعر!",این همه حمله به این و اون برای چیه؟ اگه شعرشون ضعیفه، تو یه شعر بهتر بگو! چماق کلامت رو بذار زمین. حقیقت که با داد زدن و تکفیر معلوم نمی‌شه,Counter questions,گروه مذهبی
"از طرف ارتش تو شیراز میتونیم هتل رزرو کنیم ۴ شب و روز ۲۰۰ هزار تومن.
امروز که بابا نامه‌ش رو گرفت پایین نامه نوشته بود خانم‌ها فقط با حجاب برتر(چادر) میتونند وارد هتل بشن.

من شاشیدم به سرتاپای حجابتون و چادرتون و تمام افکارتون.

مسافرتمون کنسل شد.",طبیعتا نوع پوشش هرکس از اختیارات خودشه و کسی حق تحمیل عقیده شخصی خودش به شخص دیگر رو ندارد. ولی بهتر نبود از روی عصبانیت به نوع پوشش یک عده دیگه که خودشون انتخاب کرده اند توهین و ناسزا نگوییم؟,"Positive Response ,Counter questions",گروه مذهبی
"وای چرا عبا تن مسی کرد وا😭😭
چقدر من از این مسلمونا بدم میاد",اولا این که این اتفاق فکر کنم شوخی بود و بیشتر فان بود. دوما اینکه یک لباسه دیگه. چرا باید مسئله را بزرگ کنیم؟ سوما بنظرم حرف تو خیلی نژادپرستیه!,Counter questions,گروه مذهبی
"هر جا کافران و مخالفان اسلام را یافتید بکشید!
به عقاید ما احترام بگذارید!
#من_مسلمان_نیستم ",این سخن درباره افراد غیر مسلمان نیست بلکه در مورد افراد بت پرست یا کسانی که اعتقادی به خدا ندارند گفته شده فارغ از تعصبات مذهبی. بهتر است وقتی برای موضوعی قصد اظهار نظر داریم خوب در موردش تحقیق کنیم.,"Denouncing ,Fact based",گروه مذهبی
"دوستان و همرزمان و هم میهنان 
که در حمایت از جنبش  
#نه_به_حجاب_اجباری 
شرکت میکنید
لطفا از هدف اصلیمون که همانا
#براندازی 
 و
#سرنگونی_حکومت_کثیف_جمهوری_اسلامی است دور نشیم و فراموش نکنیم
ریشه تمام مشکلات از حکومت است

#نه_به_جمهوري_اسلامي 
#به_اعتراضات_بپیوندیم_تماشاچی_نباشیم",هدف‌تون مشخصه، ولی چرا فکر می‌کنید همه مشکلات فقط یه ریشه داره؟ براندازی یه راهه، اما اگه قراره چیزی عوض شه، باید بدونیم بعدش چی می‌خوایم—نکنه فقط شعار بدیم و تماشاچی خودمون بشیم؟,Counter questions,گروه مذهبی
"مسلمون = خودخواه ترین و حق به جانب ترین موجود دنیا
چون ننه بابای یکی مسلمونن باید ۸ میلیارد آدم روی کره ی زمین مراعاتشون رو بکنن.
جمع کن بابا. دینداری یعنی تو بتونی دینت رو نگه داری نه اینکه همه رو بکنی تو زندان تا یه موقع خدایی نکرده دینت اوف نشه.
کاش تموم شید راحت شیم ",بین افراد همه دین ها افرادی هستند که اعتقادات افراطی دارند. اما این اصل باعث نمیشود تمامی افراد آن جامعه را یک گروه در نظر بگیریم و له همه شان یکجا توهین کنیم با آرزوی نابودی برایشان داشته باشیم.,"Denouncing ,Positive Response",گروه مذهبی
ریدم تو پوسته‌ی تهیِ جمجمه‌ی پوسیده‌ی آخوند، که او پنج صبح هوا روشنه و روز با سگ گرما شروع می‌شه.,فحاشي و تخريب چه مشكلي را حل ميكند؟ بياييد با تفكر جلو بريم.,Counter questions,گروه مذهبی
بگذار‌همه بدونن تو رذل کثافت منش سالهاست مامور‌ جمهوری اسلامی جنایتکار هستی. @bbcpersian,اگر به دنبال شكايت يا اعتراض نسبت به كسي هستيم سازنده ترين راه حل ارائه مدرك و منبع معتبر براي رفتار هاي اشتباه آن شخص هست نه فحاشي!,Denouncing,گروه مذهبی
چرا ورود سگ به مترو ممنوعه ولی آخوند مجازه؟,هرچقدر ما مخالف رفتار ها و سياست هاي آخوند ها باشيم باز آنها به عنوان انسان شناخته مي شوند كه اجازه استفاده از حمل و نقل عمومي را دارند.,Denouncing,گروه مذهبی
"قران صراحتا در چند آیه تاکید میکند که محمد و دین اسلام و قران فقط برای قوم عرب است باید از خودمان سوال کنیم 
وقتی قران میگویداین دین واحکامش برای قوم عرب است چرا باید مردم ایران این دین و احکامش را بپذیرند و طی ۴۳سال شاهد کشته شدن جوانان کشوربه نام اسلام باشیم 
سوره ابراهیم آیه ۴",اینکه برای سخن خود از منبع صحیح استفاده میکنید و آن منبع را هم اعلام میکنید تا مخاطب از آن آگاهی داشته باشد قابل قدردانی است.,Positive Response,گروه مذهبی
"دیروز بابک خرمدین توسط پدرش سلاخی شد آنهم با داستانی شگفت انگیز و فراموش نشدنی،امروزشاپوربختیار زد شکیبارو کشت ،فردا داستانش را خواهیم شنید.پسفردا نوبت کیست؟ مسلم خراسانی، دکتر نادر افشار،یعقوب صفاری یا رادمان پورماهک،قاسم فردوسی یا... 
نابودسازی فرهنگ و اسامی خاص به شیوه آخوندی",تاریخ ما پر از داستان‌های عجیب و دردناکه، اما بهتره که به جای تکرار این چرخه، قصه‌های جدیدی از همدلی و ساختن بنویسیم.,Positive Response,گروه مذهبی
"چقدر تو چرکی آخوند...چقدر
امروز رفتم با pc شرکت یه مفهومی و سرچ کنم نگاه نکردم وارد سایت همشهری شده.
چرا گریه رعنا رحیم پور باید اونجا باشه؟
زن بی حجاب مهاجر به آلمان گفته اگر می گفتن آلمان اینجوریه نمیومدم(بعد دیگه نگفته چجوری فقط تیتر زده)",رسانه‌ها گاهی تیترها و مطالبی منتشر می‌کنن که ممکنه گمراه‌کننده یا یک‌طرفه باشه. می‌فهمم که از برخی محتواها یا نحوه پوشش رسانه‌ای دلخور و ناراحتی. اما استفاده از کلمات توهین‌آمیز مثل «چرک» یا سرزنش یه گروه خاص فقط باعث می‌شه فضای گفت‌وگو مسموم بشه.,"Positive Response ,Warning of consequences",گروه مذهبی
"یه پیرمردی بود نزدیک خونمون چند سال پیش مرد
همه میگفتن یه آدم عادی نیس
همیشه میگفت یه روزی میرسه همه آخوندا رو دار میزنن سر هر کوچه سر یه آخوند آویزون میکنن
منتظر اون روزم که همتون سلاخی شین
اونوقت دوست دارم ببینم چجوری میخواین بلبل زبونی کنین کثافتای بی سواد!
#مهسا_امینی ",آرزوی خشونت و دعوت به سلاخی و دار زدن، حتی اگه از سر عصبانیت باشه، فقط ریشه ی نفرت و دشمنی رو درون خود آدم بیشتر می‌کنه و تنها ضررش به خودت میرسه.,Denouncing,گروه مذهبی
"به نظرم هیتلر چقد لطف کرد با کاری که کرد بهمون نشون داد دیندار ها و ایمان دارها ب خرافات و دین چقد خطرناک و حرومزاده ن و با خانوادشون باید سوزوندشون نسلشون منقرض شه
#مهسا_امینی 
#دانشگاه_شریف
#دانشگاه_علم_و_صنعت
#اعتراضات_سراسری
#اعتصابات_سراسری",تاریخ پر از اتفاقای تلخه که نشون می‌ده آدما وقتی به هر چیزی، چه دین چه ایدئولوژی، بیش از حد تعصب پیدا می‌کنن، ممکنه کار به جاهای خطرناک بکشه. ولی شاید بهتر باشه به جای نفرت، دنبال این باشیم که چطور می‌شه از اتفاقات تاریخ برای ساختن یه دنیای آروم‌تر بدون نفرت پراکنی استفاده کرد.,"Positive Response ,Warning of consequences",گروه مذهبی
"آقا من گفته باشم، اگر #تیم_ملی در جام جهانی بدترین نتایج دورانش را آورد هیچ مسئولیتی گردن من نیست. 
#خامنه‌ای_جنایتکار 
#تیم_ملی 
#فدراسیون_فوتبال 
#گزارشگرمنوتو",خب درسته شما مسئول نیستید. چرا همچین فکر میکنید؟,Counter questions,گروه مذهبی
"پیامبری که برای نوع عزاداری به روشهای پیشین مثلا اعراب جاهلیت پیشنهاد می‌کند بگویید آلت(ک ی ر) پدرت در دهانت را  مقدس میدانید!؟
او یک پدوفیل فحاش بود",این خشم نشون می‌ده که اصلاح بعضی اعتقادات نادرست برات مهمه، ولی فکر نمی‌کنی این مدل توهین و تندی بیشتر خودت رو خسته می‌کنه و باعث ایجاد تنش میشه تا اینکه سازنده یا اصلاحگر باشه؟,"Positive Response ,Counter questions",گروه مذهبی
"تقیه به سبک یهودی،
#یهودی، #مسیحی، چسلمون هر ۳ خرهای یه درشکه هستند. 😂 ",فکرشو کردی که اینجوری همه رو با یه چوب زدن و اینطوری خطاب کردنشون، بیشتر خودت رو عصبانی میکنه و کار به جایی پیش نمیره؟ هر کدوم از ادیان یه ریشه و قصه و فلسفه ای دارن، و اگه بخوای نقدشون کنی، بهتره با مطالعه و بدون توهین و ناسزا باشه که بیشتر مخاطبت رو به تفکر واداره.,"Positive Response ,Counter questions",گروه مذهبی
آخر و زمان که میگن اینه ها، امروز در فرودگاه امام خمینی یه آخوند دیدم دماغشو عمل زیبایی کرده بود 🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️هنوزم باورم نشده، بعد اومد سوار یدونه ازین دویست و شش جدیدا شد نوعه نو مشماش روش بود,اینکه از دیدن این صحنه متعحب شدی نشون میده که چقدر تعصبی نسبت به این قشر خاص نگاه میکنی. هرکسی حق داره هر تصمیمی راجب قیافه و بدن خودش بگیره و کار درستی نیست قضاوت کردن افراد از روی ظاهرشون حالا از هر قشر و گروهی باشن.,Denouncing,گروه مذهبی
"حالاهرشب دلقک های 20:30
از شلیک گلوله درمدارس آمریکابگن. راوی، کامران نجف زاده که حاضر نیست برگرده،
تو دبستان هم که بچه‌ها رو می‌کشید.
اگه اونجا یک فرد روانی اینکارو میکنه، اینجا یک جمع روانی دارن تکرارش میکنن.
چقدر شماها رذل هستین
وچقدر عرزشی احمقه که باورتون کرده
#مهسا_امینی",این موضوع کاملا طبیعیه که آدم از شنیدن حرفایی که خلاف عقاید و باورشه عصبانی بشه. هیچ چیز در هیچ جای جهان مطلق و ایده آل نیست. قدرت عقل انسانی حکم میکنه هر حرفی هرچقدرم که باعث عذابمون میشه نباید واکنش نشان بدیم. مخصوصا اگه واکنشمون همراه با توهین و نفرت پراکنی بشه.,"Denouncing ,Positive Response",گروه مذهبی
"این انقلاب باعث شده ملخ تخم هرچی اخونده رو تو کوچه بخوره 
زیبا نیست ؟#مهسا_امینی
#OpIran",ما بهتر هست اعتراض و انتقاد خود را به صورت مودبانه بیان کنیم تا تاثیرش بیشتر شود,Positive Response,گروه مذهبی
"یه زمانی هم صدا و سیما گیر داده بود مردم آمریکا از چاقی مفرط رنج می‌برند

کیر تو آخوند واقعا",در عجبم چطوری نشر اطلاعات غلط یا اطلاعاتی که باب میل شما نیست از طرف صداسیما میتونه ربطی به آخوندها داشت باشه و چرا باید اینجوری توهین کنید برای همچین موضوع بی ربطی؟,"Denouncing ,Counter questions",گروه مذهبی
"شمر و یزید و معاویه مسلمان کسکش بودن نه یهودی کسکش
پس باید ریشه مسلمانان کسکش رو خشک کنید ","
این ادعا که شمر، یزید و معاویه نماینده همه مسلمانان هستند، ساده‌انگاریه. اونا بخشی از یه تاریخ پیچیده بودن و کارهای اونا کل اسلام رو تعریف نمی‌کنه. نابود کردن ریشه یه گروه به خاطر چند نفر منطقی نیست.","Denouncing ,Positive Response",گروه مذهبی
نه قران، نه اسلام ، نه نماز، نه عزا،  تو فرهنگ ایرانی جایی ندارد، باید تو چاه جمکران بهمراه هرچی اخونده دفن بشه واسه همیشه,این نظر که قرآن، اسلام، نماز و عزا تو فرهنگ ایرانی جایی نداره، با تاریخ و واقعیت جور درنمیاد. این عناصر قرن‌هاست که با فرهنگ ایران گره خورده‌ و بخشی از هویت خیلی از ایرانی‌ها شده. پیشنهاد دفن این‌ها تو چاه جمکران هم یه راه‌حل افراطیه؛ مثل خیلی از افراطهایی که باعث تشدید تفرقه شده.,Denouncing,گروه مذهبی
"دقیقا داشتم به این فکر می‌کردم که چقدر قشنگ می‌شد که خیابون های شهر ها پر از رقص های قوم های مختلف بود نه یه مشت کودن که صف بستن برای نذری.
#مهسا_امینی ",هرکسی حق داره به شیوه خودش زندگی کنه یا آیین‌هاش رو دنبال کنه. توهین کردن به یه عده که صرفا چون به سنت نذری دادن پایبندن دقیقا همون ذهنیتی رو ایجاد میکنه که داری باهاش مقابله میکنی. به جای قضاوت و توهین، بهتره فضایی بسازیم که همه بتونن توش با احترام کنار هم باشن و اعتقاداتشون رو دنبال کنن.,Denouncing,گروه مذهبی
کیرم تو حجاب، کیرم تو #رادیو_مرز 😊,اعتقاد نداشتن به یک موضوع خاص و حتی مشکل داشتن با پیروان یک عقیده خاص کاملا طبیعی و قابل درکه. اما وقتی به توهین تبدیل میشه هیچ اثری بجز از چشم انداختن اعتقادات خودمون نداره.,"Denouncing, Warning of consequences",گروه مذهبی
"دیشب یاد این سرود که مجبور بودیم فاکین هر روز صبح گوش کنیم افتادم و هزار بار به آخوند لعنت فرستادم 👇🏻#مهسا_امینی 
سر زد از افق، مهر خاوران
فروغ دیده‌ی حق باوران
بهمن، فرّ ایمان ماست
پیامت ای امام  استقلال😐آزادی😐نقش جان ماست 🤥",سرود ملی هر کشوری بر گرفته از فرهنگ و ارزش های اون جامعه است نه سلیقه شخصی. شاید با بخشی از این شعر مخالفتی داشته باشی ولی باید در نظر بگیری کلیات مضمون این شعر ملی بر میگرده به پاس داشتن سرزمین ایران و افتخارات این خاک.,"Denouncing ,Fact based",گروه مذهبی
"قرآن یک جایی در لفاظی خیلی نایس هست
از زبان محمد میگه برادرم موسی و برادرم عیسی و ...
اما هم خودش و پیروانش تا تونستند شکم یهودی و مسیحی پاره کردند
بعدها همدیگر را سر سنی و شیعه کشتند.","
قرآن از وحدت پیامبران حرف می‌زنه و موسی و عیسی رو برادر خطاب می‌کنه، ولی تاریخ نشون می‌ده که تعارضات سیاسی و قدرت‌طلبی باعث جنگ و خشونت بین گروه‌ها شد، نه صرفاً خود دین. این درگیری‌ها بیشتر ریشه در تصمیمات انسانی و تفاسیر مختلف داشت تا متن قرآن. سنی و شیعه هم همین‌طور؛ اختلافاتشون از سیاست و جانشینی شروع شد، نه از اصل پیام. خشونت رو نمی‌شه به یه کتاب تقلیل داد، بلکه به آدما و انتخاب‌هاشون برمی‌گرده.","Denouncing ,Facet based",گروه مذهبی
